id,asset_number,name,stock_type,location,quantity_held,quantity_booked,quantity_available,quantity_counted
49520,100145,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49521,100147,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46429,100148,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49523,100149,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46430,100150,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49525,100151,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49526,100154,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49527,100156,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46431,100157,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
46432,100158,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49530,100160,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49531,100161,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46433,100162,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49533,100163,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46434,100164,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49535,100165,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49536,100166,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49537,100167,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46435,100169,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49539,100172,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49540,100173,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49541,100175,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49542,100176,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49543,100178,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49544,100179,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49545,100180,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49546,100181,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49547,100182,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49548,100183,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49549,100185,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46436,100186,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49551,100187,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49552,100188,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49553,100192,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49554,100195,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49555,100196,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49556,100197,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46437,100198,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49558,100200,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49559,100201,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49560,100206,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49561,100209,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49562,100210,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46438,100212,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49564,100214,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46439,100216,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49566,100217,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49567,100218,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49568,100220,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46440,100222,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49570,100223,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49571,100224,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49572,100226,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49573,100227,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46441,100228,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49575,100229,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49576,100230,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49577,100231,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49578,100232,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49579,100233,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46442,100234,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49581,100235,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49582,100236,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46443,100237,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49584,100238,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49585,100239,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49586,100240,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49587,100242,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49588,100243,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49589,100244,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49590,100246,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46444,100248,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49592,100249,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49593,100250,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49594,100252,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46445,100253,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49596,100254,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49597,100255,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49598,100256,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49599,100258,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49600,100262,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46446,100263,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49602,100264,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49603,100265,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49604,100266,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49605,100267,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49606,100268,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49607,100269,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46447,100270,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
46448,100271,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49610,100273,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46449,100274,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49612,100275,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49613,100276,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46450,100277,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49615,100278,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49616,100279,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49617,100280,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46451,100281,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49619,100282,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49620,100283,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46452,100284,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49622,100285,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49623,100287,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49624,100288,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46453,100289,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49626,100290,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49627,100291,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46454,100292,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
46455,100293,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
46456,100294,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
46457,100295,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49632,100296,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49633,100297,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49634,100298,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49635,100299,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49636,100300,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46458,100301,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49638,100302,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49639,100304,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49640,100305,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49641,100306,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49642,100307,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46459,100308,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49644,100309,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46460,100310,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49646,100311,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49647,100312,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49648,100313,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49649,100314,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49650,100315,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49651,100317,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49652,100318,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46461,100320,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49654,100322,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49655,100323,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49656,100324,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46462,100326,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49658,100327,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49659,100329,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46463,100330,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49661,100331,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49662,100332,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49663,100334,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49664,100335,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46464,100336,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
46465,100337,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49667,100338,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49668,100339,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49669,100340,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49670,100341,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49671,100343,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49672,100345,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49673,100346,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49674,100347,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49675,100348,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49676,100350,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49677,100351,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49678,100352,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49679,100353,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49680,100354,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49681,100355,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49682,100356,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49683,100357,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49684,100358,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49685,100359,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49686,100360,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46466,100361,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
46467,100362,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49689,100363,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49690,100364,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46468,100365,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
46469,100368,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
